full_text,username,original_text,processed_text,sentiment,confidence
@iEarthne Ibu kota nusantara,mkleemineral,@iEarthne Ibu kota nusantara,ibu kota nusantara,Positive,0.8115950226783752
@DokterTifa @prabowo itu org atau bij anj,Nusantara2025,@DokterTifa @prabowo itu org atau bij anj,itu org atau bij anj,Negative,0.9895108342170715
Berapakah kebocoran anggaran negara yg dikorupsi di IKN.....Kementerian Pekerjaan Umum Ungkapkan Pembangunan Ibu Kota Nusantara atau IKN di Kalimantan Timur telah Capai Kemajuan Signifikan Simak! https://t.co/wHp9ekC5p2,agungtriat53466,Berapakah kebocoran anggaran negara yg dikorupsi di IKN.....Kementerian Pekerjaan Umum Ungkapkan Pembangunan Ibu Kota Nusantara atau IKN di Kalimantan Timur telah Capai Kemajuan Signifikan Simak! https://t.co/wHp9ekC5p2,berapakah kebocoran anggaran negara yg dikorupsi di iknkementerian pekerjaan umum ungkapkan pembangunan ibu kota nusantara atau ikn di kalimantan timur telah capai kemajuan signifikan simak,Negative,0.9832388162612915
Pemindahan Ibu Kota ke IKN Nusantara Kebutuhan Pemerataan Pembangunan. https://t.co/bKYyRYoNq7,LesterFarhan,Pemindahan Ibu Kota ke IKN Nusantara Kebutuhan Pemerataan Pembangunan. https://t.co/bKYyRYoNq7,pemindahan ibu kota ke ikn nusantara kebutuhan pemerataan pembangunan,Negative,0.9275050759315491
Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IndonesiaEmas2045 #SmartCity #KotaModern #IndonesiaMaju #KotaMasaDepan #PembangunanIKN https://t.co/Ig9kViy1qJ,orangalimbanget,Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IndonesiaEmas2045 #SmartCity #KotaModern #IndonesiaMaju #KotaMasaDepan #PembangunanIKN https://t.co/Ig9kViy1qJ,menteri koordin infrastruktur dan pembangunan kewilayahan agu harimurti yudhoyono ahi mengungkapkan arahan presiden prabowo subianto terkait pembangunan ibu kota nusantara ikn,Negative,0.9404004216194153
Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern https://t.co/vQgDr5xrcs,orangalimbanget,Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern https://t.co/vQgDr5xrcs,menteri koordin infrastruktur dan pembangunan kewilayahan agu harimurti yudhoyono ahi mengungkapkan arahan presiden prabowo subianto terkait pembangunan ibu kota nusantara ikn,Negative,0.9404004216194153
Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern https://t.co/jaioSVetVT,orangalimbanget,Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern https://t.co/jaioSVetVT,menteri koordin infrastruktur dan pembangunan kewilayahan agu harimurti yudhoyono ahi mengungkapkan arahan presiden prabowo subianto terkait pembangunan ibu kota nusantara ikn,Negative,0.9404004216194153
Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern https://t.co/QQPDBdbEWP,orangalimbanget,Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern https://t.co/QQPDBdbEWP,menteri koordin infrastruktur dan pembangunan kewilayahan agu harimurti yudhoyono ahi mengungkapkan arahan presiden prabowo subianto terkait pembangunan ibu kota nusantara ikn,Negative,0.9404004216194153
@ramaArsy1 kbnykan drama juga lama2 boring,Nusantara2025,@ramaArsy1 kbnykan drama juga lama2 boring,kbnykan drama juga lama2 bore,Negative,0.9984754920005798
Pemindahan Ibu Kota ke IKN Nusantara Kebutuhan Pemerataan Pembangunan https://t.co/sYIIAha5IU,PesonaNegeriku2,Pemindahan Ibu Kota ke IKN Nusantara Kebutuhan Pemerataan Pembangunan https://t.co/sYIIAha5IU,pemindahan ibu kota ke ikn nusantara kebutuhan pemerataan pembangunan,Negative,0.9275050759315491
