Author,Ulasan
@user-td1rz2sn9s,"01,kurang detail apa yg mau dirubah,tdk to the point"
@abaim9979,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h53m50s"">1:53:50</a> bukan gk faham, cuman karna pakai singkatan saja."
@mifad9612,"Gile² Gibran cerdas bgt visi misi nya jelas buat masa depan bangsa,,berani &amp; Mengusai panggung bgt,makin yakin aja pilih Pragib✌️"
@mariaozawa5552,Ketawa sma pk Prabowo sorry ye..pk prabowo tidak pandai berbicara ttpi sesuai fakta kerja..mudah di pahami
@itasaptiah6407,Kalian pasti percaya dengan quote ini : Kemanusiaan Yang adil disaat masa kampanye.
@Jepri_45,Jawaban<br>3.Plin Plan<br>1.Agak Cerdas<br>2.Lumayan Sangat cerdas karena ahli lulusan ekonomi apalagi di bidang investasi 👌
@msgroup3476,honorer guru timkes dan tim teknis di dinas sudah menumpuk solusi nya bagaimana untuk para calon wapres ini terimasihh
@joo8325,PRAWAN (PRABOWO GIBRAN)
@ganjardemplon6039,asam sulfat😅😅😅
@yuyunnaniyuningsih4795,"Teman saya bertanya kamu liat nggak debat kemarin, enggak saya bilang wah seru sekali jeng, saya jd penasaran dan saya tonton siaran ulangnya ....dan ternyata memang sangat luar biasa Mas   Gibran, saluut utk mas Gibran 🫰👍👍👍"
@user-ju2px9kg6j,Ini lah no 2 penerua pak jokowi
@abyaby9903,Slepet makan siang gratis selesai 👍
@andisangperantau9628,Yg bener usulkan paksa dpr  mensahkan uud hukuman mati buat para koruptor dan keluarganya biar pada takut korup dan para tengkulak yg memiskinkan para petani krn merekalah yg menentukan stiap hrg hasil dr petani dgn cara semau maunya semenaena
@asephidayat5217,"Jangan merasa senior brooo...justru yg muda lebih senior di dlm pola pikirnya,utk membangun NKRI ini ...dan intelektualnya ...<br>anda yg tua tua kalah sama yg muda. 😂✌️"
@aguscipta380,"Cawapres janji² teori bangun ini itu serta grutas gratis,apakah sdh dipikir bagaimana mengurangi hutang yg sdh 40 % dari pdb?atau bagaimana membuat APBN tanpa pinjaman? Jadi semua janji² akan bulsit jika akhirnya hutang menjadi primadona."
@resthufangesty6524,Gibran kereeen 🥹👏🏻👏🏻👏🏻👏🏻
@WondermomyMomy,Cabang dong pak gibran liat suasana lampung bagian bakauheni kecamatan ketapang jagn bagian Jawa mulu
@maulanamuhamad5036,Slepet
@user-gd9ev6ce4n,"Gimana gibran bapak2 ahli nyinyir , ternyata cerdaskan lebih ke realistis , diam untuk berpikir bukan bicara untuk nyinyir"
@hendraprayitno8699,Ngawurr imin ini banyak wkwlwk
@user-ju2px9kg6j,Lanjutkan Indonesia maju pak prabowo
@kgsumar9670,Krna apa ikn blm bnyk orng luar negeri berinvestor .krna mrka tahu ada salah 1 capres tidak setuju utk ikn tersebut.kalo 2 cpres strju maka akan dlnjutkan ikn di truskan.
@kgsumar9670,Dak ikn akan ada yg msuk investor asing utk masuk.hati&quot;
@rhspemula2069,Salut mas Gibran membuat Indonesia terkejut. Maju terus Prabowo Gibran 🔥
@hafikabdurahim7597,"Objektif, Gibran menguasai debat ini"
@andisangperantau9628,"Ciba hitung dl bos brp jumlah desa di indonesia?? Baru anda kalikan 5 m, sdh brp uang negara yg habis ga ada gunanya itu add hanya jadi ladang korupsi program yg ga masuk akal"
@megahiburan,mkan siang gratis waduh... ada&quot; aja 4T loh.... mending lu sedekahin ke orang yg membutunh kan anak muda bobrok 😂😂😂
@user-ju2px9kg6j,Semangat mas gibran
@abaim9979,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h49m35s"">1:49:35</a> mantap"
@fullsun0639,✌️apapun it q udh mantap d no 2
@windazhu2430,Yang katanya Ketua BEM BEM itu gimana?
@andregucialit7248,"Kalau bole saya nilai.muhamin hanya 35,%<br>Untuk Gibran 85%<br>Untuk prof mahfud MD 60%untuk ketegasan dan jawapan"
@Dhanizaa,"Sepertinya prof. Mahfud, bisa gabung dikabinet no2 nantinya, karena bpk bisa ngasih kontribusi n gagasan yng bagus nantinya untuk Indonesia emas."
@user-ju2px9kg6j,Kebanyakan slepet
@msgroup3476,mas gibraaannnnn sipd perbaiki hingga mau launching website dengan rup harus segera di sinkronkan
@abaim9979,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h46m56s"">1:46:56</a> mantap pertanyaan cak imin"
@abdulrohim-wi8sz,Mukanya aja kaku si asam sulfat jelas mengingat apa yg di ajrin harus ngmong apa
@user-ju2px9kg6j,Semangat mas bowo dan mas gibran
@mugen7841,"Ingat jgn hanya janji&quot;manis untuk rakyat, kita liat nntinya siapa yg terpilih apakah ucapanya semua bisa dipegang???"
@user-zv1ow4yz8v,"Imin di cengin gibran anjir , 😂😂😂😂"
@kgsumar9670,Ketar ketir akan di husut korupsi
@belajarislam8321,"Pak mahfud tahu betul tata cara membangun bangsa, seperti seorang dokter, untuk menyembuhkan orang sakit, dia analisa dulu penyebab penyakitnya kemudian menghilangkan penyakitnya setelah itu dia mendorong orang yang sudah sembuh dari sakit itu untuk berolah raga agar menjadi lebih sehat. Bukan pas sakit disuruh olah raga."
@fullsun0639,Pak jokowi insinyur dulu soekarno jg insinyur
@abdulrohim-wi8sz,"Gibran asam sulfat udh dapet contekan makanya lancar ngmongnya,coba dadakan mana bisa si belimbing sayur"
@ydpratama6104,boneka mampang
@bunks2618,All in no.2🎉🎉
@oplozit,2 atau 3 terserah
@choliesferdym4558,Amin
@Hotif,Ketika pemegang kekuasaan di kasih panggung sungguh sangat berleluasa...😮😮😮
@fullsun0639,Pak prabowo emang g salah pilih wakil
@user-zv1ow4yz8v,"TUA DOANG KAGA KONSISTEN, <br>TERTERA :GIBRAN 🫰"
@niraalisiah4121,Pak mahfud kenapa nyalonin jadi wapres sih. netral sja pak jadi menkom udah top bgt lohhh
@gideongimanto2399,"Siapapun pemimpinya yg penting masih banyak ketimpangan sosial, mohon dicek kinerja dinas sosial, masih jauh dari adil."
@YanuarDimas,wawasan terletak bukan pada singkatan..  tetapi pada memahami makna..  apa arti sebuah nama tanpa mengenal raga
@Entissutisna-kj6do,Imin ngomong ny gagap lawan gibran
@syifafauziyah95,"Mas Gibran dikira cupu, tahu nya suhu..  mas Gibran itu ilmu padi.. semakin tinggi semakin nunduk❤"
@yanhidayat7891,Benar sekali gass poll mas gibran
@Jhoni-do6yu,Gibran...✌👍👍👍👍
@abdulrochman1159,Respect ke gibran..luar biasa penyampaiannya lugas dan terararah..good jobs paslon 2
@tesiqoo,jujur gua orang jatim.. tapi kenapa gak paham arti slepet 😢😢
@user-hy7tu2qt2w,Karena trik main di dalam politik itu tidak dapat kita liat jika kita tidak mengamatinya.
@PancaSona-oe9ue,KLO MAU LIAT ORANG MUNAFIK ITU KETIKA IYA INGIN MENJATUHKAN LAWAN NYA.....MANUSIA HARUS PAHAM ORNG MUNAFIK ITU SEPERTI APA
@riesyadpk,"Sim salabim, jadilah 40 kota BESAR. <br>ANGIN bantu ya 🙏"
@ainulfikri9453,Mas gibran membuat org banyak bermanuper ke paslon 2 mantap jawaban &quot;nya g di sangka.
@choliesferdym4558,"Anis,,,amin"
@syarifhidayatullah8387,"awalnya saya dukung bambang pacul dan puan maharai, tapi setelah nonton video ini saya mantap  mendukung pak mahfud - ganjar....bravo"
@fifiaja1411,akan bangun 1 faskes 1 nakes. Omg kasian bgt nakesnya. Pst nangis kejer kalo ada kegawatdaruratan pak😢
@rickyrakaofficial,"Diam Terliat cupu, bergerak ternyata suhuu. ALL IN PRABOWO - GIBRAN ❤✌✌"
@FirmanSyah-kk2ws,Selepet tarrr oh selepet
@mashurikemol322,InsyaAllah Anies Amin RI 1
@sasebobilly-yt8lx,No 2 tetap di hati
@riyandewi2272,"Imin oh Imin, ngomong ny gagap😅"
@myigdanyadzkiya9065,Yang jujur melaksanakan visi misinya semoga terpilih
@user-hy7tu2qt2w,Yg perlu di ingat adalah.<br>Dalam persangingan itu selalu ada trik mainnya.<br>Jadi yg perlu kita nilai adalah triknya calon itu bagus atau tidak.<br>Bertentangan dengan masyarakat atu tidak.itu yg perlu kita liat dan kita simak sebagai warga negara indonesia.
@niraalisiah4121,Slepet itu apa sih
@destadestah2136,Artinya nasi goreng 😅😂
@enikusmiati8316,​@@destadestah2136arti slepen adah rokok lintingan
@ajiempekok7315,"Gagasan Cak imin d luar nurul..mau mmbangun 40 kota selevel jkrta,apakah negara udah kaya raya? hutang ajja masih numpuk.. min miin anda Lucuu sekali"
@dickyalfianhidayat907,Imin = mohon maaf SGIE itu apa yah 🤣🤣🤣🤣
@cahayash,<b>TETEP TERLIHAT CERDAS DI MATA PENDUKUNGNYA*para buzzzer udh pada ngumpul..bntr lg gajain</b>
@melisarahayu848,masya Allah mas gibran
@tikasahnaz3269,"Kemarin waktu debat capres banyak yg nyinyirin pak prabowo, katanya tim pak prabowo gak punya kesiapan buat mempersiapkan materi buat pak prabowo sehingga jawabannya ngelantur 🙄 lah giliran gibran sat set sat set semu di jawab dgn tepat dan lugas ehhh dikatain dapat kisi2 😢 emang bener ya klw sdh benci, bencinya mendarah daging 😅 ampun dahhh"
@riyatinriya5949,iya mbak susah memang 😅😅
@fitrikarmilahrita2889,"Iya Shay ngeri kalo Uda benci mendarah daging, ya gth darah nya jadi darah kotor daging nya.jadi daging tumor😂"
@andimulya212,dulu pdip skrang ????
@yatmoyatmo8492,ANIES       83%<br>PRABOWO  7%<br>GANJAR.    10%
@haidirfajri6623,haha ngehaluu muluu luu ga usah kepedean yah😂<br>2/3 no 1 jangan harap
@yatmoyatmo8492,"@@haidirfajri6623 di pulau sumatra prabowo 1,2%... ganjar 1,7%... anies 97,1%"
@haidirfajri6623,"@@yatmoyatmo8492 healah ngotak,mana sumbernya"
@abaim9979,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h31m50s"">1:31:50</a> FAKTA. MANTAP PAK MAHFUD"
@hanyaseorangnetizen6147,Prabowogibran pasti..
@massendybwi2550,semakin yakin sama 02
@tankganka,banyak buzerr 02 wkwkw
@haidirfajri6623,kau juga sama buzerr 😂
@tankganka,@@haidirfajri6623 waww buzzer pada muncul akhirnya udah mulai kepanasan nie yee wkwkk
@user-jt2yj7ep1d,"Omong kosong pak amin,dalam 1 tahun setiap desa jatah 5 M ngada² aja bapak,kaga usah belebihan pak"
@ChorneliusGinting,"Amin ngelawak...<br>Mahfud curhat...<br>Please, kalian fokus mengutarakan gagasan. Bukan yg aneh2😂😅. Ini 2 nya kayak menyudutkan saja, gada isinya.<br>Setakut itu kah?"
@nokidito3286,prikitik
@user-sc9ys1bb5v,gus aimin nggk tau sgie
@dedypatresz,Selesai 😅
@KhayraMaheswari,No 1 tetap pilihanq
@Luffy53,Komentar hanya Gibran Gibran dan Gibran... <br>Jgn ragu dgn anak muda!!!
@ArokDjancuk,Gibran terEpic ... suport prabowo gibran 🎉🎉
@yogaparker7549,Gibran sosssss tenan jebule👏🏽👏🏽👏🏽👍🏽👍🏽👍🏽👍🏽🙏🏼🙌🏽 wong solo pancen oye👏🏽👍🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🥳
@abaim9979,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h27m08s"">1:27:08</a> mantap pak mahfud. Lawannya gk faham"
@haikkcantiklikedonghehe6803,Prabowo gibran mantappp 👍👍👍👍
@verawati914,👍
@merrymelisa9541,"Ku pikir dia bakal di bully, nyatanya dia pemenangnya di debat kali ini."
@resahariyanto473,Tetap PAK WOWO dihati ❤
@Gofur-wu3vb,No 2
@nurwulandari7553,Slepetnomic😂
@user-ul5ul5cx2t,3
@lorabibley3213,Emmm aku rasa gibran anak muda yang tangguh di cocok jadi panglima TNI😏
@pikynovansa5115,Muda cerdas tegas cekatan cocok lah
@ferypermanaputra9339,Banyak bgt yeh janji2 paslon 3 sampe 21 janji😅😅😅😅😅😅😅
@abaim9979,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h20m33s"">1:20:33</a> Mantap pak mahfud"
@uchikzhe6785,Mas gibran keren visi misinya pilih 02
@FSChannelfreeandsmile,"Edyann nek iki ,. All in pragi..<br>Sesuai prediksi gibran akan membuat kejutan😂"
@ekochandra3710,Paslon 1 kok setuja setuju aja...apa g punya bahan
@bukan_gitaris5931,"SGIE, maaf kalo pertanyaan saya terlalu sulit 😂"
@wayanjuni3582,"Saya bukan anak kecil paman, <br>Iklas mengabdi untuk Negri itulah p prabowo gibran lanjtkan dn sukses"
@user-gh1bl7iw2o,Kebanyakan nyelepet
@tujuhmedia4367,Pilih Pragibran &#39;&#39;&#39;&#39;&#39;&#39; the alchemist
@liveinstagramselebrititerb6804,Cawapres 01 belibet banget kalau ngomong😢
@user-uc5fo4wn4j,"Iya, dari awal saya liat P01 ga pede, minder. Apalagi pas segmen saling debat"
@hilalluddindaulay1893,AM 1 N
@IipDinata,Tamabah teteg dukung gibran
@arifinmuhamad6729,"Sangar Cak Gibran ❤🎉, Kabeh Bolo Prabowo Gibran Pokok e Nomer dua ✌️"
@murdi.09,Mas gibran sangat cerdas dan sangat ambisi ingin memajukan Indonesia. Sudah jelas anak muda emas bersama Indonesia maju.
@abaim9979,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h19m16s"">1:19:16</a> MANTAP GIBRAN"
@user-ro6gz9mb1g,Tetap pilih prabowo gibran 😊
@cakalpin725,Hehehe IKN sebagai simbol saja loh. Gak penting banget
@okelalala1987,"Tadinya seneng dengan penampilan Gibran, tapi pas nanya tentang SGIE ke Pak Imin, sikapnya terlalu congkak, meremehkan seolah lawan tidak tau sama sekali. Seharusnya, pertanyaannya ada prolog nya, ada mukodimahnya, atau minimal kepanjangan dari SGIE. Singkatan SGIE kan bukan singkatan yg sering dikenal kayak alutsista, asean atau FBI. Kalo si gibran tiba tiba ditanya MEA juga dia gak ngerti kali singkatannya apaan.<br>Gua yakin, kalo seandainya maksud pertanyaannya dijelaskan dulu, prolognya atau ada pembukaannya gitu, Cak Imin pasti bisa jawab. <br>Strategi sih tapi gal keren aja menurut gua. Cak Imin gak bisa minta bantuan juga kan.<br>Cara yg payah untuk mempermalukan lawan, i dont like it.<br><br>Jadi posisi debat kedua ini menurut gua :<br>1. Mahfud<br>2. Gibran<br>3. Cak Imin<br><br>Tadinya respect sama Gibran, tapi pas dia tanya SGIE, ilfil gua 😅😅"
@bangvexxa2890,karna lu dukung nya imin wkwk
@produsenfiberglass1472,BuzzerRp banyak banget ya di komentar
@puetromalik3066,Byk basser 02 dikomentar😅
@dolankuy5118,Da tau kan harus pilih nomer brp?
@hanajayanti,"Why is it that if the old people all use it and have notes, they can&#39;t really memorize it because it flows like that, so it looks like it comes from their heart and intelligence, spontaneity looks more intelligent."
@rumaluturhamzah857,"Gibran hebat, penyampaian sesuai topik debat❤"
@justkiddwashere,"Ayoo mana yang nynyirin gibran, mana yang suka bikin vidio sarkas untuk gibran, jangan suka meremehkan orang, orang yang oeenah di remehkan dan mau belajar tak akan meremehkan orang, lihat dulu, berkomentar itu mudah kawan ehe"
@Meyzalia23,Adabnya mas gibran ❤ bener2 terharu keren mas gibran ❤❤❤
@abaim9979,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h16m31s"">1:16:31</a> MANTAP PAK MAHFUD"
@Hasbialfa-wm5uj,"Siapapun yang kalian pilih ga usah fanatik, ingat pengalaman sebelumnya yang menangpun nantinya akan tetap bagi bagi kursi dengan yang kalah dlm pemerintahan :&#39;)"
@hernandaadityadwilaksana6073,wangun tenan 👍👍👍👍
@jokoblarah9513,Yang jelas cak imin adalah menterinya jokowi dan sebagai menteri tentu cak imin harus ikut mendukung apa yng menjadi program jokowi..yng jelas IKN perlu di kaji kembali dan di batalkan demi hukum.
@puetromalik3066,Kartu2 masa jokowi aja satupun ngk ada yg jelas ni mau buat makan siang gratis dengan anggaran 400t😅mau di jadiin laha korupsi baru
@abaim9979,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h13m40s"">1:13:40</a> makan siang gratis🧐"
@athifainuhfa5428,Mas Gibran luar biasa
@user-zu3eq6ln7c,"Jujur saya ragu dengan Gibran saat debat. Tapi setelah melihat ekspresi Gibran menolak ditawarkan menjawab pertanyaan awak media saya semakin ragu dan sangat tidak mendukung G**r*n lagi...<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>"
@Fatmafira,Ini banyak buzzer buzzer yang coment takut ah 😂
@iggokuliner1,Paling sama aja
@user-ls2ix7uo3s,Tetap prabowo gibran
@AdityaPratama-jp3um,Mantap
@agungyulianto1578,Pet..slepeeeet....pet..slepeeeet ...capres sak wapres e podo lucu ne 😂😂😂😂
@rockyhikmawan6725,"Bran bran, sayang bet dah ah pasangannya produk OrBa 🤦<br>Yawis lah, liat nanti aja. Enjoykeun~"
@eyzaadventure5735,Prabowo -Gibran semakin di depan
@anisasucirahmadani193,"Mas gibran adalah anak muda milenial yang cerdas,,,tapi saya tetap dukung AMIN. Salam demokrasi...🤝🤝🤝"
@mrs.rindra9158,Kalo memang nanti mas Koalisi prabowo yang menang smoga pak Mahfud bisa bergabung dengan kabinet prabowo gibran
@Rizki_Putra95,KALI INI PRABOWO TIDAK SALAH MEMILIH CALON WAKIL NYA .<br><br>PRABOWO - GIBRAN ✌✌✌✌✌
@mohlisraya5400,katanya kamu tidak salah memilih callon katanya aku fatal banget tidak ada wibawah nya sama sekali prabowo
@samagodin4084,2019 pilih Prabowo<br>Harini saya haramkan pilih Wowo dan Ganjar karena apa <br>Seorang muslim wajib menjadikan imam lebih bagus bacaan nya dan hapalan nya dan paham tentang caranya shalat<br>Kalau di situ aja tidak becus mau mimpin negara yg mayoritas muslim<br>Apa bisa yg ada cuma Bisa ngutang dan bayar bazer buat seolah2 di kagumi wkwkwkwkwk
@muhammadazka2604,😂😂😂😂❤😂😂😂
@andikuswanto7275,​@@samagodin4084allah benci sama orang munafik dan cuma janji2 .
@andikuswanto7275,"​@@samagodin4084singkat saja, kebanyakan janji : anies<br>Munafik : Imin"
@pitrexduwex9099,Cak imin kurang ngopi ini
@AymarAzka12-rm5hi,Saya juga setuju mas gibran luar biasa wawasannya tingggi ketimban mahpud md dan muhaimin dua duanya frop dan Dr
@febrikriss1781,"asalamualaikum warohmatuwohi wabarokatuh, selamat natal dan tahun baru . itu goks sih wkwk"
@yudisukamto2682,Selamat menyambut Pesta Demokrasi<br>Siapapun yang menang bisa membawa Indonesia ke arah yang lebih baik
@ucokchanel.1jtxditonton809,"Kalau mas Gibran bilang ikn itu pemerataan pembangunan, justru saya orang Kalimantan Tengah, jalan kami hancur, kami kerumah sakit saja susah kerana jalan nya hancur, kalian enak bisa bikin ikn tapi ingat kami warga saja ke RS SUSAH. Jadi kalau alasan pemerataan pembangunan itu OMONG KOSONG."
@sandarsilaban66,"Keren sih emang gibran, sangat menjanjikan."
@shafwandaib2811,"Gibran Kok Banyak Amat Alat2 Suaranya Nya ,😂😂😂"
@Oplion21,"Live Event yang proper minimal pakai 2 mic, biasanya ini untuk menangani technical issue apabila ada kendala pada satu mic, maka bisa langsung pakai mic lain sebagai backup.<br>Yang biasa setup live event harusnya sudah biasa dgn setup mic spt ini.<br>Dari 3 mic yang dipasang, mungkin untuk antisipasi bila ada mic yang mati atau rusak saat berbicara. Bagus dong berarti cukup proper dalam persiapan"
@imamwahyudi4002,Apalah arti simbol pemerataan pembangunan bila kenyataan tidak merata
@sugiartiimelda6397,Berasa pk jokowi yg lg ngmg logat n suarny sama percis pk jokowi
@shafwandaib2811,"Saya Setuju Dgn Pendapat Cak Imin Nomor 1 , Mantap Dah"
@Faisall-mv1fj,"Pertanyaan Gibran bukan sulit,tapi tidak dimengerti"
@mascokro7466,panikk ngakk tuh pendukung imin...😂😂
@mancingcastingternate2720,"Pejelsan yg sangat ,relevan ,ternyata anaka mudah,yg diam itu emas,sangat cerdas dengan gagasan ,bukan cuma , teks, yg di sampaikan,tapi kecerdasan yg luar biasa,MALUKu utara siap dukung , PRABOWO, GIBRAN top markotop"
@orions6373,dunia semakin maju pilih yang muda muda aja gua mah biar kaga gaptek 😂
@abaim9979,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h06m21s"">1:06:21</a> CSR itukan Swasta"
@jechindyhongkong6931,Yang penting jangan tunduk sama china jangan banyakin hutang ke china demi menambah aset pembangunan .
@jackandrea7682,Jangan percaya ama yg koar2 ini gratis itu gratis...bebas ini bebas itu.......sudah basiii
@Farid_Abdillah,"Wkwkwk... ketika Anis berbicara banyak yg bilang Anis pandai merangkai kata sehingga jd manis, namun ketika Gibran berkata kok pada bilang smart...<br>Logis aja siih."
@bronizam5089,G&#39;mudahku percaya saat ini krana penuh dg framing Buzzer Pencitraan yg Bukam kepada Subtansinya trlebih cara berpolitikya yg menjadika. Lemga hukum tertinggi konstitusi jadi acak kadut shingga shrusnya yg tidak boleh jadi boleh menurut orderan keluarga n trbukti Ketua MK Sang Paman jadi teradu dan di hukum pelanggaran Etik Berat
@maswid9894,Kalau dari awalnya saja sudah curang selanjutnya juga ga beres
@mawarhidayat631,"pak mahfud bicara sesuai pengalaman , dan mas gibran bicara untuk masa depan .. makin yakin dengan pasangan cawapres nomer 2"
@megupoy.poymegu9787,"Dan caimin abunaswas, pelawak. Tdk cocok jdi wakil RI 1"
@user-wv8tz6mz1u,Muhaimin cuma bisa bilang seharusnya seharusnya😂
@caturadiprasetyo736,Gibran menang telak
@user-op9qc5xc8u,Prabowo Subianto dan Gibran..<br>   Tetap pilihan kami dari Sumatra
@JDBirdLovers,All in prabowo gibran .
@Faisall-mv1fj,Ga nyambung jawaban gibran
@user-ce2tt1sp2h,Prabowo kerennn
@joo8325,kemaren debat ga di kasi mejaa gimana
@chakenkei5797,02 Presidenku. 2024 Prabowo gibran pimpin indonesia. ✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️
@abaim9979,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h04m02s"">1:04:02</a> mantap. Realistis"
@Kanzabanget,😂😅 imin terjangkit firus Anis dalam jurus tipu2 kosong 40 kota yg sama jakarta 5 tagun ya pak imin aduhh ketularan anis ni pak imin😂.. Dulu dukung IKN skrng ga.. pak imin ohhh pak imin begitulah klo sudah jadi bempernya si DP 0% hasil 0 🤭 😁
@keziaratna6213,entah knp jd bayangin anak anak pesantren. bukankah selepet tuh juga bentuk dari kekerasan?
@diansusanti466,pak prabowo dan mas gibran maju trus untuk indonesia salam✌
@user-ro5ft2zb4o,Wah dari sekian banyak komentar viks Prabowo Gibran ❤
@Name-dl3xf,kesini cuma mau liat Gibran debat..dan ternyata di luar ekspektasi..luar biasa Gibran 😊
@Fatmafira,Ngangur jawabannya parah dah
@user-yw5nq9mc1l,Gus imin pucet.
@ruangrasa1212,salam ✌ jari
@chakenkei5797,01 dan 03 omdo 02 jelas dn berkualitas.. 02 02 02 gibran prabowo terbaik 2222222222
@user-ro5ft2zb4o,"Kalbar,94% prabowo"
@rudiharyadi4463,"2014, 2019, pilih pak jokowi, saatnya 2024 menebus nya dengan memilih prabowo ❤"
@koegnisegcarreragt692,<b>SIAPAPUN PRESIDENNYA KALO KITA NGGAK KERJA SENDIRI KITA NGGAK MAKAN</b>
@tennycahyani4067,Ini ko komentar nya semua pd milih prabowo gibran.. Kaya ada sesuatuuuu.. 😅
@anjani_queen,Peningkatan investasi di sektor teknologi pendidikan mendukung perkembangan metode pembelajaran baru
@elipenarukan8292,Suara Lombok NTB prabowool 90
@dhanyalin1809,AMIN ttp pilihanku
@briankarz1515,no 1
@nickorizkiakbar2825,min min 😂
@pran5415,Untuk debat kali ini Pak Mahfud paling oke.
@dramatvchannel7094,Pemdukung amin kok tumben gk muncul ya dsini😂 biasanya suka nyerang
@robbypadilah7471,Kesalahan anis terbesar memilih cak imin wkwk
@user-fv4wp9ow4b,Dari aura berbicaranya saja Hnya karangan tapi tdak sesuai dengan jalan pikiran(banyak bohongnya) aura suaranya saja udh kthuan liat saja mulutnya kthuan org” bnyak bohong(1&amp;3)
@Hijab_FarahElena,Pak Ganjar pake topi ap si ya
@MamaKosah,Topi koboi mbak
@user-ux5jk8cl4l,Mantap Amin2x
@abaim9979,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=54m04s"">54:04</a> pajak naik harga barang pasti juga naik, pajak sangat berbahaya terhadap pekerja non formal dan pengusaha kecil."
@MamaKosah,Setuju
@bangvexxa2890,nonton sampe full ga mas? wkwkkw
@abaim9979,@@bangvexxa2890 Iya sampek akhir
@anandagalelio4232,"wakil anies cmn ngucapin yg muslim pdlan di Indonesia sndiri agama ga cmn itu 😂, udh gtu ngejanjiin uang 5 miliar buat desa pertahunnya malah jatuhnya kek mau nyogok biar kepilih 🤣 jdi makin tkut ah milih yg pinter berpuisi"
@lidiacoolz7463,Gibran luar biasa !!
@windelisistiany5349,maaf banget ini yg komen tetap amin sudah lihat sampai full belum yaa isi debat calon pilihannya seperti apa🙏
@dewiputrikediri6835,Polisi paling banyak menurutku pak mahfud. Real ini
@anismuryani3630,Semangat mas Gibran.<br><br>Jangan menilai orang dari fisik/luarnya.<br>Keliatannya biasa aja.<br>Ternyata dalamnya ada mutiaranya 😍😍😍🥰🥰🥰<br><br>Semoga menjadi yang terbaik 🤲
@agungyulianto1578,Wkwkwkw...u cak Slepet  kakehen janji cak..biasane akeh mbleset e😂😂😂
@beninghati,"<a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=1h46m00s"">1:46:00</a> (ada suara &#39;udah&#39;) siapa yg dengar cung?🤔"
@abstrakyt7665,Imin tak tiknya pinter ngibul nyerang mahfud yg padahal lawan twrberat nya gibran
@rachmathidayat4466,Tdk menjawab pertanyaan prof mahfud
@agungyulianto1578,Wkwkwk...cak mud bisa  bilang korupsi dimana2 ...lah trs drimu pas dadi mentri lapo ae cak😂😂😂
@evilviil9653,simpel tepat cpat pas itu pah mas gibran andalanku
@RusliAqil,Tiada kau Gibran ..rumpu rumpu dan di pecel pece kau.. tetap Aamiin
@treebagschannel1515,mas gibran kaya bapak jokowi gaya bicaranya 😊
@ravindarifkyy,gemes bgtt😭😭
@caturadiprasetyo736,2
@user-il6zk6gy7g,Goroh pak mahfut pdi mentingno pengusaha bukan rakyat
@anamjaelani-qm9vo,"dari salamnya gibran, sudah kelihatan.dia merangkul seluruh indonesia. bukan satu sisi."
@umymukaromah2997,Debat itu sama saja dengan teori mudah di ucapkan sulit utk praktekan<br>   Yg jadi masalah nya bisa di pertanggung jawaban tidak visi misi nya <br>   Yg sudah&quot; saja sampai 2 priode janji&quot; nya banyak yg tdk di tepati <br>    Sadar rakyat punya hak Demokrasi jgn sampai terulang kembali trmksih
@nathagamer8378,"GIBRAN SANGAT MENGHARGAI AGAMA LAIN DENGAN MENYEBUT SALAM DARI SEMUA AGAMA, YG 2 LAINNYA SANGAT TIDAK PEDULI DAN MENJIJIKAN, DI SINI KELIATAN YG MANA PUNYA ADAB DAN TOLERANSI NYA TINGGI"
@yogipratama1272,Prabowo gibran..❤
@user-in3se2sq7n,"Hemm rakyat melihat pasti nya rakyat cermat dan pinter, melihat cara bicara, dari ucapan, raut wajah dari bahasa tubuh terlihat banget yg tulus rendah hati dan berbobot  pastinya bukan di no 1 bukan juga di no 3, mereka cuma pandai orentasi bicara saja hemmm gerammmm"
@iqbalsaaji6202,"Amin pendapatnya hanya akan menyenangkan si PESUAP , MENGHIDUPKAN PUNGLI DAN KORUPSI"
@user-oo1bf3vr4r,Bismillah Prabowo gibran....omongan Imin gak ad yg bisa di percaya
