Author,Ulasan
@familyacademy2706,"Bapaknya Banget..,, terhura.. 😭awal nya takut, ditinggal pak Jokowi, ternyata dia berikan hadiah anak sulung Nya,😭 irit bicara, cerdas akal budinya.. Pak Jokowi presidenku.. terimakasih krn telah mendidik generasi.. kamu persembahan Putra mu untuk Indonesia.. semoga Allah meridhoi.. menjaga negeri kita tercinta"
@agungcahyono7580,saya dukung nomer 1
@bloomyzara9801,"Dicek dulu pa ibu, jawaban mas gibrannya nyambung apa ndak.. <br>Soal sgie, itu bhsa inggris harusnya pakai ejaan bhs inggris juga 😊 dan harusnya dijelaskan tdk pakai singkatan2, mbok ya bukan acara cerdas cermat to 😊😊"
@aswatamaps,"Untuk sesi penyampaian visi misi dan program tangkapan saya Gibran paling lengkap dan tuntas sesuai alokasi waktu. Mahfud MD hanya fokus pemberantasan korupsi. Cak Imin kebanyakan slepetnya, jadi untuk menguraikan visi misi program jadi nggak tuntas sampai waktunya habis."
@bloomyzara9801,Semakin yakin sama amin😊
@user-rp4ds1bj2y,Anak anak muda yang ahli asam folat
@amaalhamzah99,Mas gibran kerennn
@amaalhamzah99,Mas gibran keren bangettt ❤❤❤
@user-wt7go3pb1t,"Dukung Anis 2 priode😊😊 <a href=""https://www.youtube.com/watch?v=J1WUpRCzK44&amp;t=31m46s"">31:46</a>"
@syamsudinnor4496,amin bapa mahfudz.bapa memang profesor yg luar biasa
@jarwoto8933,Teruskan Prabowo Gibran semoga terpilih jd pemimpin Nusantara yg amanah
@ytstdfree4199,Lahir nya bocah angon
@user-wt7go3pb1t,Dukung Anis 2 priode😊😊
@user-wt7go3pb1t,Dukun Anis yes😊😊
@muhh7174,Pilih no 5
@Nesy_channel,"Meski aku gak dukung imin, aku bantu jawaban dari pertanyaan samsul. Jawabannya: itu dulu sul, tapi ternyata bapakmu bohong, apalagi aku ngebet jadi ban serep anis.jadi gitu deh. 11 12"
@syamsudinnor4496,penyebab tidak sampai 7% salah sattunya korupsi
@hambaallah6333,serasa denger pak jokowi lg ngomong mirip bngt suara gibran dngn pak jokowi
@hamamatsutgpura1679,"aku bisa nangkap yg dikatakan paslon cawapres 02. <br>kalau pajak dinaikan lagi,bisa bahaya nih rakyat<br>bbm saja sekarang 10.000/Lt.<br>dijaman sby bensin masih 6000/L <br>apa yg mau diharap"
@anaktimorhitsseniman8414,Cak imin ngomong gk jls .😅
@anaktimorhitsseniman8414,Bungus indonesia emas . Tujuan mulia pak lurah <br>😅
@anaktimorhitsseniman8414,Muhaimin lgi berpuisi 😅
@syamsudinnor4496,saya tidak setuju kalau pajak  dinaikan
@user-kn8bc2qm5j,"Jgn banyak janji pak Krn rakyat makin susa pupuk dan BBM naik semua,,sawit murah rakyat hrs igt janji dulu yg dirasakan rakyat makin susa."
@syamsudinnor4496,menurut saya visi misi  dan program memberantas korupsi yg paling tepat untuk mewujudkan  keadilan sosial
@desikartika1360,Lho lho lho gak bahaya ta ? Apa tujuannya paslon 3 bikin program kuliah gratis untuk anak prajurit dan bayangkara ???
@radenyusup220,Prabowo Gibran sosok yang layak untuk memimpin negeri Indonesia Raya
@donisolok7692,"Coba Anis  gibran gabung ,ykin indonesia maju.. Yg setuju like 😅"
@joicealt6915,Gibran ❤
@Nacho-te5gr,40 kota gak tu😂
@sadamfiiks159,Mantap Prabowo n Gibran ❤✌️
@helgamonalysa3399,Sy terkagum dgn gibran luar biasaaa❤❤
@FreddyMboyz,"&quot;DI LUAR NURUL&quot;<br>Membangun 40kota setara jakarta..<br>Skrng kota2 besar seperti Jogja,solo,Semarang,Surabaya khususnya dijawa ini..<br>Secara UMRnya beda..<br>Mau bangun kota selevel jakarta,harus utamakan SDM dan UMRnya minimal setara dl."
@helgamonalysa3399,Gibran pilihanku
@abdkarim77,"Prabowo-Gibran,is the best"
@Prindavanchanel,"Saya dan  keluarga  besar dukung pragib, InsyaAllah Pragib menang"
@sahabatbadminton9820,Banyak janji luu mahfud😂
@Mustopa-qz9tq,Kempul  Gibran  sip ga  usah  panjang 2 Gibran sedikit  padat
@Mustopa-qz9tq,Bagi  pk mahpud
@m.satriaakbar4125,supporter anis parahh
@Mustopa-qz9tq,Cak  imin  ngomong  aja  blepotan
@nurdinefendi6239,"Sebelas dua belas Dengan bapaknya, banyak bual nya saja cuma pintar menghayal tapi belum tentu terealisasi. Anak dengan bapak sama2 penghayal tingkat tinggi."
@rambutodji9980,"Garuda  panca  sila  akulah  pendukung mu patriot  proklamasi,  sedia  berkorban  untuk mu  Pancasila  Dasar negara  rakyat  adil  makmur  sentosa  pribadi  bangsaku  ayo  maju,  maju,  maju"
@user-uw4hw7sk4k,Omong kosong kalau korupsi di Indonesia dapat di brantas...!!!!🤪🤪🤪
@user-uw4hw7sk4k,PILIHANKU PRA dan GIB 👍👍👍👍👍👍♥️♥️♥️♥️♥️♥️
@davidadrian6413,Slept 😴
@asyiatulrahmiputri441,Istilah &quot;slepet&quot; nya pak Muhaimin menurut saya keseringan di ulang&quot;. mungkin bisa dikurangi pemakaiannya
@lexabarhaen6096,bocil keren 😂
@angitaocha5162,Mahfud md di akhir bnyak omong banyak janji🤦🏻‍♀️🤦🏻‍♀️yakin 5 tahun bisa begitu?? Paling juga banyak masalah entar udah males denger&quot; janji&quot; palsu🤦🏻‍♀️🤦🏻‍♀️
@jero9297,Prabowo-Gibrannn ❤❤❤❤❤🥺
@tlfqldi6248,Gibran jawabannya mudah aku pahamii
